complaint_id,vehicle_id,complaint_date,category,status,resolution_days
CMP0001,V0137,2025-04-19,Battery Drain,Escalated,3.0
CMP0002,V0062,2026-03-29,Noise/Vibration,open,0.0
CMP0003,V0273,2026-08-06,Billing Issue,Resolved,0.0
CMP0004,V0328,2025-02-06,Poor Staff Behaviour,Resolved,14.0
CMP0005,V0194,2025-04-09,Poor Staff Behaviour,Resolved,3.0
CMP0006,V0102,2026-08-02,Part Unavailability,Open,5.0
CMP0007,V0150,2026-01-10,Part Unavailability,Resolved,14.0
CMP0008,V0070,2025-07-13,Charging Issue,Resolved,0.0
CMP0009,V0253,2026-07-23,Software Glitch,Resolved,3.0
CMP0010,V0269,2025-06-17,Brake Issue,Open,14.0
CMP0011,V0329,2024-10-19,Delayed Service,RESOLVED,0.0
CMP0012,V0383,2025-10-05,Delayed Service,RESOLVED,5.0
CMP0013,V0131,2024-10-16,Part Unavailability,Closed,14.0
CMP0014,V0162,2025-05-13,Billing Issue,Closed,5.0
CMP0015,V0077,2025-08-10,Brake Issue,Open,0.0
CMP0016,V0087,2025-02-06,AC Not Cooling,RESOLVED,14.0
CMP0017,V0041,2026-03-19,Billing Issue,Closed,3.0
CMP0018,V0350,2025-02-05,Charging Issue,Escalated,5.0
CMP0019,V0316,2026-04-19,Part Unavailability,Closed,3.0
CMP0020,V0396,2026-08-13,Charging Issue,RESOLVED,14.0
CMP0021,V0141,2026-06-29,Poor Staff Behaviour,Escalated,0.0
CMP0022,V0546,2025-02-17,Noise/Vibration,Escalated,8.0
CMP0023,V0275,2026-06-17,Billing Issue,open,14.0
CMP0024,V0526,2025-12-27,Delayed Service,open,2.0
CMP0025,V0196,2025-12-21,Delayed Service,Escalated,2.0
CMP0026,V0531,2025-11-07,Billing Issue,open,2.0
CMP0027,V0435,2026-03-26,Charging Issue,Resolved,1.0
CMP0028,V0303,2025-04-28,Software Glitch,RESOLVED,8.0
CMP0029,V0329,2024-11-16,Charging Issue,open,3.0
CMP0030,V0178,2025-06-16,Billing Issue,RESOLVED,
CMP0031,V0253,2025-08-26,Software Glitch,Resolved,14.0
