service_id,vehicle_id,service_date,service_type,technician,cost_inr,days_taken
S00001,V0057,2026-02-10,Tyre Replacement,S. Iyer,6181.84,1
S00002,V0013,2025-12-30,Brake Repair,S. Iyer,3971.15,7
S00003,V0356,2025-02-08,Suspension Work,P. Nair,9861.07,1
S00004,V0381,2025-08-11,Brake Repair,P. Nair,4574.0,1
S00005,V0031,2026-02-13,AC Repair,P. Nair,3913.56,1
S00006,V0270,2026-03-25,Body Repair,N. Gupta,10270.12,7
S00007,V0524,2025-05-03,General Service,S. Iyer,2073.34,3
S00008,V0162,2026-07-09,Tyre Replacement,A. Verma,5091.63,2
S00009,V0522,,Oil Change,M. Khan,2048.5,1
S00010,V0484,2025-08-05,AC Repair,S. Iyer,2984.29,1
S00011,V0037,2025-12-16,Suspension Work,K. Reddy,7709.95,2
S00012,V0330,2026-01-15,Oil Change,D. Singh,3107.5,2
S00013,V0080,2024-11-03,Battery Check,S. Iyer,1957.34,2
S00014,V0529,2025-05-30,General Service,A. Verma,2214.73,7
S00015,V0290,2025-11-08,Tyre Replacement,,8522.55,7
S00016,V0009,2026-01-24,Motor Repair,M. Khan,12857.6,7
S00017,V0378,2026-05-19,Body Repair,M. Khan,3439.88,2
S00018,V0155,2026-05-24,General Service,R. Sharma,1617.92,2
S00019,V0355,2026-03-18,Insurance Claim,R. Sharma,8630.57,3
S00020,V0002,2026-01-27,Insurance Claim,P. Nair,21924.26,1
S00021,V0211,2024-09-14,Suspension Work,K. Reddy,7045.13,7
S00022,V0062,2025-08-20,Brake Repair,A. Verma,6664.36,1
S00023,V0238,2024-10-24,Suspension Work,D. Singh,7800.97,7
S00024,V0087,2026-04-22,Software Update,K. Reddy,738.65,1
S00025,V0064,2026-08-20,Software Update,S. Iyer,1032.23,2
S00026,V0299,2026-08-13,Tyre Replacement,K. Reddy,1356.62,3
S00027,V0326,2025-07-29,Oil Change,M. Khan,1948.44,1
S00028,V0112,2026-06-08,Software Update,N. Gupta,1015.84,3
S00029,V0417,2026-07-21,Battery Check,M. Khan,723.74,7
S00030,V0316,2025-08-09,Oil Change,A. Verma,2520.57,1
S00031,V0312,2025-09-21,Brake Repair,S. Iyer,4697.59,1
S00032,V0255,2025-02-15,Battery Check,P. Nair,1281.97,2
S00033,V0179,2024-12-24,General Service,N. Gupta,3053.68,2
S00034,V0097,2026-07-13,Software Update,A. Verma,1435.79,1
S00035,V0064,2026-01-15,Brake Repair,D. Singh,4467.34,1
S00036,V0266,2024-11-07,Battery Check,M. Khan,1630.32,7
S00037,V0132,2026-08-18,Battery Check,D. Singh,1258.84,1
S00038,V0044,2024-09-12,Software Update,K. Reddy,562.04,7
S00039,V0031,2026-07-02,Software Update,S. Iyer,1032.49,3
S00040,V0220,2025-04-17,Brake Repair,S. Iyer,2941.56,1
S00041,V0252,2025-05-29,Brake Repair,,4305.2,7
S00042,V0063,2025-03-14,Oil Change,K. Reddy,1499.08,2
S00043,V0539,2026-01-29,Oil Change,,2101.76,1
S00044,V0392,2025-12-21,AC Repair,N. Gupta,3908.74,3
S00045,V0515,2026-07-18,AC Repair,S. Iyer,4770.99,1
S00046,V0327,2025-12-25,Motor Repair,R. Sharma,12322.41,7
S00047,V0543,2025-12-21,AC Repair,M. Khan,3169.4,1
S00048,V0103,2026-06-27,Oil Change,P. Nair,1183.38,1
S00049,V0225,2025-11-28,Body Repair,K. Reddy,10133.97,3
S00050,V0178,2025-08-16,Brake Repair,D. Singh,4754.63,1
S00051,V0361,2026-03-26,Body Repair,M. Khan,15179.35,7
S00052,V0317,2025-04-22,Brake Repair,A. Verma,2844.42,1
S00053,V0239,2025-02-01,General Service,N. Gupta,3260.91,1
S00054,V0340,2025-10-17,Software Update,D. Singh,1179.58,1
S00055,V0332,2026-06-28,General Service,S. Iyer,2861.76,1
S00056,V0539,2024-10-08,AC Repair,D. Singh,5799.07,5
S00057,V0104,2025-04-29,Software Update,S. Iyer,583.34,5
S00058,V0499,2026-06-18,Insurance Claim,,14109.27,3
S00059,V0229,2026-02-16,Insurance Claim,S. Iyer,9436.2,5
S00060,V0315,2026-02-02,Battery Check,K. Reddy,2285.42,1
S00061,V0187,2025-12-13,Body Repair,M. Khan,14748.34,1
S00062,V0509,2026-03-18,Battery Check,M. Khan,1470.82,3
S00063,V0328,2026-07-29,Brake Repair,A. Verma,4611.55,3
S00064,V0458,2025-07-07,Oil Change,A. Verma,1090.94,3
